Поле | Назначение
id | Уникальный идентификатор расклада (можно использовать в ссылках/БД)
title | Название расклада
cards_count | Количество карт в раскладе
theme | Основная тематика
description | Подробное описание цели расклада
recommended_use | Когда лучше использовать
suitable_for | Для кого предназначен расклад
difficulty | Сложность расклада
spread_type | Тип расклада по смыслу
interpretation_duration | Сколько времени обычно занимает толкование
structure_description | Как устроен расклад
reflection_question | О чём задуматься перед использованием
energy | Энергетический характер расклада
notes | Примечания, дополнительные рекомендации
usage_frequency | Как часто рекомендуется использовать
short_summary | Короткий текст для отображения в превью на сайте
